Well_Combinations,,,,,
Plate,Well,384 well plate,384 well location,Sample #,Combination
2,F4,1,J22,126,"D-Alanine, L-Glutamic Acid, DL-Serine, L-Valine"
2,G4,1,K14,127,"D-Alanine, L-Cytosine, DL-Serine, L-Valine"
2,H4,1,L14,128,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid"
2,A5,1,H03,129,"L-Alanine, L-Proline, L-Histidine, L-Cytosine"
2,B5,1,H15,130,"L-Alanine, L-Proline, L-Histidine, DL-Serine"
2,C5,1,I07,131,"L-Alanine, L-Proline, L-Histidine, L-Valine"
2,D5,1,I19,132,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine"
2,E5,1,J11,133,"L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine"
2,F5,1,K03,134,"L-Alanine, L-Proline, L-Glutamic Acid, L-Valine"
2,G5,1,K15,135,"L-Alanine, L-Proline, L-Cytosine, DL-Serine"
2,H5,1,L15,136,"L-Alanine, L-Proline, L-Cytosine, L-Valine"
2,A6,1,H04,137,"L-Alanine, L-Proline, DL-Serine, L-Valine"
2,B6,1,H16,138,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine"
2,C6,1,I08,139,"L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine"
2,D6,1,I20,140,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Valine"
2,E6,1,J12,141,"L-Alanine, L-Histidine, L-Cytosine, DL-Serine"
2,F6,1,K04,142,"L-Alanine, L-Histidine, L-Cytosine, L-Valine"
2,G6,1,K16,143,"L-Alanine, L-Histidine, DL-Serine, L-Valine"
2,H6,1,L16,144,"L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine"
2,A7,1,H05,145,"L-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine"
2,B7,1,H17,146,"L-Alanine, L-Glutamic Acid, DL-Serine, L-Valine"
2,C7,1,I09,147,"L-Alanine, L-Cytosine, DL-Serine, L-Valine"
2,D7,1,I21,148,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine"
2,E7,1,J13,149,"L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine"
2,F7,1,K05,150,"L-Proline, L-Histidine, L-Glutamic Acid, L-Valine"
2,G7,1,K17,151,"L-Proline, L-Histidine, L-Cytosine, DL-Serine"
2,H7,1,L17,152,"L-Proline, L-Histidine, L-Cytosine, L-Valine"
2,A8,1,H06,153,"L-Proline, L-Histidine, DL-Serine, L-Valine"
2,B8,1,H18,154,"L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine"
2,C8,1,I10,155,"L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine"
2,D8,1,I22,156,"L-Proline, L-Glutamic Acid, DL-Serine, L-Valine"
2,E8,1,J14,157,"L-Proline, L-Cytosine, DL-Serine, L-Valine"
2,F8,1,K06,158,"L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine"
2,G8,1,K18,159,"L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine"
2,H8,1,L18,160,"L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine"
2,A9,1,H07,161,"L-Histidine, L-Cytosine, DL-Serine, L-Valine"
2,B9,1,H19,162,"L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine"
2,C9,1,I11,163,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid"
2,D9,1,J03,164,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine"
2,E9,1,J15,165,"D-Alanine, L-Alanine, L-Proline, L-Histidine, DL-Serine"
