Well_Combinations,,,,,,,,,
Plate,Well,384 well plate,384 well location,,Combination,,,,
2,C11,1,K21,179,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
2,D11,1,K22,180,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
2,E11,1,K23,181,"D-Alanine, L-Alanine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
2,F11,1,L12,182,"D-Alanine, L-Alanine, L-Cytosine, DL-Serine, L-Valine",,,,
2,G11,1,L13,183,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
2,H11,1,L14,184,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
2,A12,1,L15,185,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Valine",,,,
2,B12,1,L16,186,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine",,,,
2,C12,1,L17,187,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, L-Valine",,,,
2,D12,1,L18,188,"D-Alanine, L-Proline, L-Histidine, DL-Serine, L-Valine",,,,
2,E12,1,L19,189,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
2,F12,1,L20,190,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
2,G12,1,L21,191,"D-Alanine, L-Proline, L-Glutamic Acid, DL-Serine, L-Valine",,,,
2,H12,1,L22,192,"D-Alanine, L-Proline, L-Cytosine, DL-Serine, L-Valine",,,,
3,A1,2,C03,193,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
3,B1,2,C04,194,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
3,C1,2,C05,195,"D-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
3,D1,2,C06,196,"D-Alanine, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
3,E1,2,C07,197,"D-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,F1,2,C08,198,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
3,G1,2,C09,199,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
3,H1,2,C10,200,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Valine",,,,
3,A2,2,C11,201,"L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine",,,,
3,B2,2,C12,202,"L-Alanine, L-Proline, L-Histidine, L-Cytosine, L-Valine",,,,
3,C2,2,C13,203,"L-Alanine, L-Proline, L-Histidine, DL-Serine, L-Valine",,,,
3,D2,2,C14,204,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
3,E2,2,C15,205,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
3,F2,2,C16,206,"L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine, L-Valine",,,,
3,G2,2,C17,207,"L-Alanine, L-Proline, L-Cytosine, DL-Serine, L-Valine",,,,
3,H2,2,C18,208,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
3,A3,2,C19,209,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
3,B3,2,C20,210,"L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
3,C3,2,C21,211,"L-Alanine, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
3,D3,2,C22,212,"L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,E3,2,D03,213,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
3,F3,2,D04,214,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
3,G3,2,D05,215,"L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
3,H3,2,D06,216,"L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
3,A4,2,D07,217,"L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,B4,2,D08,218,"L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,C4,2,D09,219,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
3,D4,2,D10,220,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
3,E4,2,D11,221,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Valine",,,,
3,F4,2,D12,222,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine",,,,
3,G4,2,D13,223,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine, L-Valine",,,,
3,H4,2,D14,224,"D-Alanine, L-Alanine, L-Proline, L-Histidine, DL-Serine, L-Valine",,,,
3,A5,2,D15,225,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
3,B5,2,D16,226,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
3,C5,2,D17,227,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine, L-Valine",,,,
3,D5,2,D18,228,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, DL-Serine, L-Valine",,,,
3,E5,2,D19,229,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
3,F5,2,D20,230,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
3,G5,2,D21,231,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
3,H5,2,D22,232,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
3,A6,2,E03,233,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,B6,2,E04,234,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
3,C6,2,E05,235,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
3,D6,2,E06,236,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
3,E6,2,E07,237,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
3,F6,2,E08,238,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,G6,2,E09,239,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,H6,2,E10,240,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
3,A7,2,E11,241,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
3,B7,2,E12,242,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
3,C7,2,E13,243,"L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
3,D7,2,E14,244,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,E7,2,E15,245,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,F7,2,E16,246,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,G7,2,E17,247,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
3,H7,2,E18,248,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
3,A8,2,E19,249,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
3,B8,2,E20,250,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
3,C8,2,E21,251,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,D8,2,E22,252,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,E8,2,F03,253,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,F8,2,F04,254,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
3,G8,2,F05,255,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
,,,F06,,water,,,,
