LC File number (blanks=no data),,Contents of Sample,,,,
142,,"D-Alanine, L-Alanine, L-Proline, DL-Serine, L-Valine",,,,
154,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
166,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
178,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Valine",,,,
190,,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, DL-Serine",,,,
107,,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, L-Valine",,,,
119,,"D-Alanine, L-Alanine, L-Histidine, DL-Serine, L-Valine",,,,
131,,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
143,,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
155,,"D-Alanine, L-Alanine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
167,,"D-Alanine, L-Alanine, L-Cytosine, DL-Serine, L-Valine",,,,
179,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
191,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
108,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Valine",,,,
120,,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine",,,,
132,,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, L-Valine",,,,
144,,"D-Alanine, L-Proline, L-Histidine, DL-Serine, L-Valine",,,,
156,,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
168,,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
180,,"D-Alanine, L-Proline, L-Glutamic Acid, DL-Serine, L-Valine",,,,
192,,"D-Alanine, L-Proline, L-Cytosine, DL-Serine, L-Valine",,,,
193,,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
201,,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
209,,"D-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
217,,"D-Alanine, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
225,,"D-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
233,,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
,,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
,,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Valine",,,,
194,,"L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine",,,,
202,,"L-Alanine, L-Proline, L-Histidine, L-Cytosine, L-Valine",,,,
210,,"L-Alanine, L-Proline, L-Histidine, DL-Serine, L-Valine",,,,
218,,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
226,,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
234,,"L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine, L-Valine",,,,
,,"L-Alanine, L-Proline, L-Cytosine, DL-Serine, L-Valine",,,,
,,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
195,,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
203,,"L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
211,,"L-Alanine, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
219,,"L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
227,,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
235,,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
,,"L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
,,"L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
196,,"L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
204,,"L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
212,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine",,,,
220,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine",,,,
228,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Valine",,,,
,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine",,,,
,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine, L-Valine",,,,
,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, DL-Serine, L-Valine",,,,
197,,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
205,,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
213,,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, DL-Serine, L-Valine",,,,
221,,"D-Alanine, L-Alanine, L-Proline, L-Cytosine, DL-Serine, L-Valine",,,,
229,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
,,"D-Alanine, L-Alanine, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
198,,"D-Alanine, L-Alanine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
206,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
214,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
222,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
230,,"D-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
,,"D-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
,,"D-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
,,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
199,,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
207,,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
215,,"L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
223,,"L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
231,,"L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
,,"L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine",,,,
,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, L-Valine",,,,
200,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, DL-Serine, L-Valine",,,,
208,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Cytosine, DL-Serine, L-Valine",,,,
216,,"D-Alanine, L-Alanine, L-Proline, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
224,,"D-Alanine, L-Alanine, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
232,,"D-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
,,"L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
,,"D-Alanine, L-Alanine, L-Proline, L-Histidine, L-Glutamic Acid, L-Cytosine, DL-Serine, L-Valine",,,,
